assignment_key,evaluator_id,phase_id,split_id,source_id,work_id,assignment_order,assignment_state
training|alessandro|SRC-0004,alessandro,training,TRAINING,SRC-0004,W0085,1,assigned
training|alessandro|SRC-0009,alessandro,training,TRAINING,SRC-0009,W0206,2,assigned
training|francesca|SRC-0004,francesca,training,TRAINING,SRC-0004,W0085,1,assigned
training|francesca|SRC-0009,francesca,training,TRAINING,SRC-0009,W0206,2,assigned
training|giovanni|SRC-0004,giovanni,training,TRAINING,SRC-0004,W0085,1,assigned
training|giovanni|SRC-0009,giovanni,training,TRAINING,SRC-0009,W0206,2,assigned
training|giuseppe|SRC-0004,giuseppe,training,TRAINING,SRC-0004,W0085,1,assigned
training|giuseppe|SRC-0009,giuseppe,training,TRAINING,SRC-0009,W0206,2,assigned
training|thiago|SRC-0004,thiago,training,TRAINING,SRC-0004,W0085,1,assigned
training|thiago|SRC-0009,thiago,training,TRAINING,SRC-0009,W0206,2,assigned
training|vaclav|SRC-0004,vaclav,training,TRAINING,SRC-0004,W0085,1,assigned
training|vaclav|SRC-0009,vaclav,training,TRAINING,SRC-0009,W0206,2,assigned
agreement|alessandro|SRC-0013,alessandro,agreement,AGR-C,SRC-0013,W0336,1,assigned
agreement|alessandro|SRC-0047,alessandro,agreement,AGR-C,SRC-0047,W0972,2,assigned
agreement|alessandro|SRC-0014,alessandro,agreement,AGR-C,SRC-0014,W0337,3,assigned
agreement|alessandro|SRC-0045,alessandro,agreement,AGR-C,SRC-0045,W0939,4,assigned
agreement|alessandro|SRC-0010,alessandro,agreement,AGR-C,SRC-0010,W0210,5,assigned
agreement|francesca|SRC-0049,francesca,agreement,AGR-A,SRC-0049,W1016,1,assigned
agreement|francesca|SRC-0050,francesca,agreement,AGR-A,SRC-0050,W1036,2,assigned
agreement|francesca|SRC-0018,francesca,agreement,AGR-A,SRC-0018,W0415,3,assigned
agreement|francesca|SRC-0031,francesca,agreement,AGR-A,SRC-0031,W0628,4,assigned
agreement|francesca|SRC-0042,francesca,agreement,AGR-A,SRC-0042,W0926,5,assigned
agreement|giovanni|SRC-0013,giovanni,agreement,AGR-C,SRC-0013,W0336,1,assigned
agreement|giovanni|SRC-0047,giovanni,agreement,AGR-C,SRC-0047,W0972,2,assigned
agreement|giovanni|SRC-0014,giovanni,agreement,AGR-C,SRC-0014,W0337,3,assigned
